store,op,benchmark,n
basic,get,207,5000000
misframe,get,194,10000000
sync_map,get,172,10000000
shard,get,168,10000000
basic,put,236,10000000
misframe,put,225,10000000
sync_map,put,312,5000000
shard,put,192,10000000
basic,goc_empty,590,2000000
misframe,goc_empty,582,2000000
sync_map,goc_empty,1059,1000000
shard,goc_empty,600,2000000
basic,goc_full,238,10000000
misframe,goc_full,187,10000000
sync_map,goc_full,267,5000000
shard,goc_full,204,10000000
basic,delete,302,5000000
misframe,delete,298,5000000
sync_map,delete,407,3000000
shard,delete,237,5000000
